,hi-en,hi
2187,hashan,हशन
2188,tm,तिलकरत्ने
2189,sundaram,सुंदरम
2190,license,लाइन्स
2191,babhanhan,बाभनन
2192,andi,एण्डी
2193,load,लॉएड
2194,lyon,ल्येन
2195,canyon,कॅन्योन
2196,soma,सोमा
2197,naankamta,नानकमता
2198,bahubali,बाहुबली
2199,paise,पैसे
2200,gudiya,गुड़िया
2201,industries,इंडस्ट्रीज़
2202,dunia,दुनिया
2203,madem,मैडम
2204,fasteners,फ़ास्टनर्स
2205,essar,एस्सार
2206,steel,स्टील
2207,kaveri,कावेरी
2208,cliksoftware,क्लिकसॉफ़्टवेयर
2209,technologing,टेक्नोलॉजीज़
2210,chandorkar,चांदोरकर
2211,elsi,एल्सी
2212,japattata,ज़पाट्टा
2213,chile,चिली
2214,seenai,सिनाई
2215,hilton,हिल्टन
2216,bhimashankar,भीमाशंकर
2217,raja,राजा
2218,gopichand,गोपीचंद
2219,ratnali,रत्नाली
2220,kafa,काफ़
2221,jaydrian,ज़ेड्रियन
2222,faizabad,फ़ैज़ाबाद
2223,atmaha,अतमाह
2224,mere,मेरे
2225,ho,हो
2226,haathi,हाथी
2227,saathi,साथी
2228,munsilvar,मूनसिल्वर
2229,hotee,होटी
2230,premiyo,प्रेमियो
2231,kaimos,कैमोस
2232,zafeerah,ज़फीराह
2233,abdal,अब्दुल
2234,baseer,बसीर
2235,damodar,दामोदर
2236,binar,बैनर
2237,adalin,एडलिन
2238,rajendra,राजेंद्र
2239,oof,ऑफ
2240,decide,टीसाइड
2241,glenmark,ग्लैनमार्क
2242,pharmaceuticals,फ़ार्मास्युटिकल्स
2243,mela,मेला
2244,arlan,अर्लेन
2245,drisdram,ट्रिस्ट्रम
2246,stainer,स्टेनर
2247,laser,लेज़र
2248,jeff,जेफ
2249,duzon,डुजोन
2250,madhav,माधव
2251,travor,ट्रेवर
2252,lafilan,लाफ्लिन
2253,gavayan,ग्वायन
2254,piyumakoka,प्युमाकोका
2255,sereliya,सेरेलिया
2256,vibhushand,विभूषण
2257,menulife,मैन्युलाइफ़
2258,financial,फ़ाइनेंशियल
2259,nene,नेने
2260,purani,पुरानी
2261,haveli,हवेली
2262,wasiyat,बासित
2263,naval,नवल
2264,chiplundkar,चिपलूणकर
2265,kamna,कामना
2266,guruduwara,गुरूद्वारा
2267,bhatta,भट्टा
2268,sulek,सुलेक
2269,pet,पेट
2270,statsi,स्टेसी
2271,muni,मुनि
2272,scotish,स्कॉट‍िश
2273,church,चर्च
2274,calcutta,कैलकटा
2275,taarik,तारीक
2276,ajijz,अज़ीज़
2277,kotal,कॉटल
2278,paap,पाप
2279,athabaska,अथाबास्का
2280,moscow,मॉस्को
2281,crojer,क्रोजेर
2282,mahijuba,महिजुबा
2283,anurod,अनुरोध
2284,goutmi,गौतमी
2285,aadar,ऑडर
2286,aaf,ऑफ़
2287,william,विलियम
2288,jonathan,जोनाथन
2289,dasna,दसना
2290,agaatha,अगाथा
2291,kaare,कॉरे
2292,kalimar,कॉलीमर
2293,cross,क्रॉस
2294,we,हम
2295,qurban,क़ुर्बान
2296,kiyedh,कियेध
2297,balrampur,बलरामपुर
2298,chinese,चीनी
2299,kealey,कीले
2300,country,कंट्री
2301,shaayar,शायर
2302,gowan,गैवान
2303,ranjar,रॉजर
2304,telemachus,टेलीमैचुस
2305,demiya,डेमिया
2306,daku,डाकू
2307,mangal,मंगल
2308,simha,सिंह
2309,dinesh,दिनेश
2310,mongiya,मोंगिया
2311,tere,तेरे
2312,bina,बिना
2313,jeena,जीना
2314,amogha,अमोघा
2315,cobra,कोबरा
2316,vinod,विनोद
2317,benefisens,बेनेफिसेंस
2318,rockford,रॉकफ़ोर्ड
2319,astin,एश्टीन
2320,urshita,उर्शिता
2321,jenesa,जेनेसा
2322,kuybaah,कुयबाह
2323,drima,ड्रीमा
2324,bihari,बिहारी
2325,color,कलर
2326,naya,नया
2327,daur,दौर
2328,aayushmaan,आयुष्मान
2329,aamla,आमला
2330,kolthekar,कोलथेकर
2331,arnest,अर्नेस्ट
2332,hemingve,हेमिंग्वे
2333,satish,स‍तीश
2334,gujraal,गुजराल
2335,satyajit,सत्यजित
2336,came,कैम
2337,neelantha,निलंथा
2338,nabhan,नभन
2339,badanapur,बदनापुर
2340,kartik,कार्तिक
2341,basit,बसित
2342,balram,बलराम
2343,samarth,समर्थ
2344,yunis,यूनिस
2345,sanjula,संजुला
2346,hotel,होटल
2347,nottingam,नॉटिंगहॅम
2348,ist,ईस्ट
2349,midledress,मिडलैंड्‍स
2350,ayoghyapati,अयोध्यापती
2351,badhu,बंधु
2352,maar,मार
2353,anandmayi,आनंदमयी
2354,bahkebihari,बांकेबिहारी
2355,forever,फॉरएवर
2356,madork,मर्डोक
2357,umraah,उमराह
2358,endriya,एन्ड्रीया
2359,doriya,डोरिया
2360,bidar,बिदर
2361,aachryananda,आचार्यनंदना
2362,achtion,धाड़
2363,tosa,टोसा
2364,diphu,दिपु
2365,zahid,ज़ाहिद
2366,sanyo,सैन्यो
2367,his,अपना
2368,alien,पराया
2369,zeenat,ज़ीनत
2370,kairal,कैरॉल
2371,aandar,ऑडर
2372,nakhimov,नखीमोव
2373,gael,गेल
2374,sirohi,सिरोही
2375,temple,टेम्पल
2376,horashiyo,होराशियो
2377,chote,छोटे
2378,vrutti,वृत्ति
2379,mekkile,मैककिले
2380,trishtna,त्रिस्तना
2381,fuji,फूजी
2382,thorium,थोरियम
2383,musfkar,मुश्फिकर
2384,rahim,रहीम
2385,goal,गोल
2386,gomantak,गोमंतक
2387,times,टाइम्स
2388,allstorm,आल्सटॉम
2389,projects,प्रोजेक्ट्स
2390,arjun,ऑचन
2391,hasmuk,हसमुख
2392,anokhaa,अनोखा
2393,daan,दान
2394,simin,सीमीन
2395,byejunkshankar,बाइजंक्शनर
2396,motors,मोटर्स
2397,faidi,फैदी
2398,bhabar,भाभर
2399,kavesta,क्वेस्टा
2400,thaisenkrup,थाइसेनकृप
2401,sur,सुर
2402,merkiya,मेर्किया
2403,kanstalesan,कॉन्सटेलेशन
2404,energy,एनर्जी
2405,global,ग्लोबल
2406,sorjez,सोर्सेज़
2407,khushbakht,खुशबख्त
2408,vidor,विडोर
2409,barbertaan,बार्बेरटॉन
2410,freyds,फ्रेंडस
2411,phir,फिर
2412,gayak,गायक
2413,vaddu,वदूद
2414,insaph,इंसाफ
2415,aavaaj,आवाज़
2416,barengar,बारनगर
2417,parot,पिएरेटे
2418,neterland,नीदरलैंड्‍स
2419,deepbaali,दीपाबाली
2420,toofaan,तूफान
2421,rohtak,रोहतक
2422,gaanziyaah,ग़ाज़ियाह
2423,phort,फोर्ट
2424,amhazart,एमहर्स्ट
2425,flory,फ्लोरी
2426,zola,ज़ोला
2427,democraty,डेमोक्रेटी
2428,jems,जेम्स
2429,aarambh,आरंभ
2430,abraar,अबरार
2431,rashk,रश्क
2432,ae,ए
2433,lola,लैला
2434,record,रिकार्डो
2435,panvel,पॉवेल
2436,anhdhi,आँधी
2437,whitaker,व्हिटेकर
2438,jangiri,ज़ागीरी
2439,rojeen,रोज़ीन
2440,hide,हाइड
2441,ab,अब
2442,toh,तो
2443,jeene,जीने
2444,sonika,सोनिका
2445,tufan,तूफान
2446,akansa,आकांक्षा
2447,iaali,इआली
2448,veerbhoom,वीरभूम
2449,mukutdhar,मुकुटधर
2450,elvin,एल्विन
2451,kalicharan,कालीचरन
2452,gruh,गृह
2453,laxmi,लक्ष्मी
2454,shahajahaan,शाहजहाँ
2455,devolution,डिवॉल्यूशन
2456,majaal,मजाल
2457,varil,वेरिल
2458,khalif,खली़क
2459,nil,‍नील
2460,hop,हॉप
2461,sanyukt,संयुक्ता
2462,sampatthi,सम्पत्ति
2463,simrit,सिमरित
2464,jaggi,जग्गी
2465,teynith,टेनिथ
2466,mittan,मिट्टन
2467,janaral,जनरल
2468,mainager,मैनेजर
2469,satyanarayan,सत्यनारायण
2470,dulip,दुलीप
2471,pannagesh,पन्नागेश
2472,time,टाइम
2473,warner,वॉर्नर
2474,lakmipathy,लक्ष्मीपति
2475,balaji,बालाजी
2476,kusum,कुसुम
2477,hakaido,हॉकाइडो
2478,acharyanandan,आचार्यनंदन
2479,savu,सावू
2480,samraveera,सामरावीरा
2481,mapto,मेपटो
2482,rajkuvari,राजकुंवरी
2483,jism,जिस्म
2484,rista,रिश्ता
2485,nevado,नेव्हाडो
2486,kolima,कोलीमा
2487,haeeking,हाइकिंग
2488,yark,यॉर्क
2489,fiveveon,फैवियन
2490,grahan,ग्रहण
2491,mark,मार्क
2492,burgess,बर्गेस
2493,clutterbuckganj,क्लटरबकगंज
2494,daurala,दौराला
2495,gusun,ग़ुसन
2496,fateh,फतेह
2497,ashish,आशीष
2498,camphor,कपूर
2499,quota,कोटा
2500,bwindi,बीविंडी
2501,matsendra,मत्सेंद्र
2502,steelman,स्टिलमैन
2503,chit,चित
2504,badagaav,बड़ागांव
2505,chor,चोर
2506,saahir,साहिर
2507,munsif,मुंसिफ
2508,impanitrable,इम्पेनिट्रेबल
2509,tarulata,तरुलता
2510,pareeksha,परीक्षा
2511,ghar,घर
2512,pareyu,परेयु
2513,aatik,आतिक
2514,sorrento,सॉरेन्टो
2515,konrai,कौनराय
2516,mavahib,मवाहिब
2517,newberg,न्यूबर्ग
2518,christian,क्रिश्चियन
2519,mitra,मित्रा
2520,barbara,बारबरा
2521,boxer,बॉक्सर
2522,damangar,दामनगर
2523,geroge,जॉर्ज
2524,barnard,बर्नार्ड
2525,show,शॉ
2526,pumber,पम्बर
2527,madan,मदन
2528,laal,लाल
2529,junius,जूनियस
2530,kumkum,कुमकुम
2531,dancer,डांसर
2532,ashirwaad,आशीर्वाद
2533,troposphere,ट्रोपोस्फीयर
2534,nirgude,निरगुडे़
2535,roti,रोटी
2536,kapdaa,कपड़ा
2537,makam,मकान
2538,kamar,कमर
2539,mekenry,मैकहेनरी
2540,everest,एवरेस्ट
2541,sati,सती
2542,narmada,नर्मदा
2543,bleech,ब्लीच
2544,mana,माना
2545,pulse,पूल्स
2546,kedar,केडार
2547,mil,मिल
2548,boybal,बायबल
2549,banchong,बाँहों
2550,christine,किर्स्टन
2551,foundation,फाउंडेशन
2552,anish,अनीश
2553,kalista,कैलिस्ता
2554,mabel,मबेल
2555,dhoble,ढ़ोबले
2556,indra,इंद्र
2557,sabha,सभा
2558,bade,बड़े
2559,bhadya,भइया
2560,mavali,मवाली
2561,age,आगे
2562,iren,इरेन
2563,rushil,रुशिल
2564,aarib,अरीब
2565,madhyamum,मध्यामम
2566,amiri,अमीरी
2567,lakjar,लक्ज़र
2568,sharangika,शारंगिका
2569,lel,लेल
2570,soch,सोच
2571,osvald,ऑसवल्ड
2572,weblon,वेब्लेन
2573,geometry,ज्योमेट्री
2574,gwenlion,ग्वेनलियन
2575,penganga,पेनगंगा
2576,tara,तारा
2577,vili,विली
2578,barmingham,बर्मिंघम
2579,siyana,सियाना
2580,heera,हीरा
2581,desh,देश
2582,paray,पराए
2583,banke,बाँके
2584,brown,ब्राउन
2585,manorma,मनोरमा
2586,chelisya,चेल्सिया
2587,aalamnagar,आलमनगर
2588,saba,साबा
2589,tiyaara,टियारा
2590,lovi,लोवी
2591,nongkrem,नॉन्गक्रेम
2592,shipahi,सिपाही
2593,bal,बाल
2594,yogi,योगी
2595,erwin,इर्विन
2596,bahira,बहिरा
2597,sharafat,शराफत
2598,erik,एरिक
2599,najang,नंज‍िंग
2600,pathak,पाठक
2601,yohan,योहन
2602,gursekara,गूरसेकरा
2603,balchandra,बालचंद्र
2604,priketus,प्रिकेट्‍स
2605,aberth,ऑबर्थ
2606,parvarish,परवरिश
2607,kinare,किनारे
2608,gani,गनी
2609,padmavati,पद्मावती
2610,mufti,मुफ़्ती
2611,meru,मेरु
2612,betiri,बेतिरी
2613,purity,शुचिता
2614,onex,ऑनेक्स
2615,luzon,लुज़ॉन
2616,harda,हरदा
2617,lhast,आखिरी
2618,chik,चीख
2619,vyadraahli,ब्यादराहली
2620,west,वेस्ट
2621,cost,कोस्ट
2622,swing,स्विंग
2623,first,फर्स्ट
2624,soutern,साउदर्न
2625,beptist,बैपटिस्ट
2626,legos,लेगॉस
2627,edge,किनारे
2628,fayruz,फैरुज़
2629,law,कानून
2630,voice,आवाज़
2631,ratnaparkhi,रत्नपारखी
2632,arthur,आर्थर
2633,haley,हॅले
2634,chris,क्रिस
2635,kate,केंट
2636,hashid,हशीद
2637,lucas,लुकास
2638,dewon,डेवॉन
2639,tamburitz,तम्बुरिट्‍ज़ा
2640,gangrar,गंग़्रार
2641,aakhon,आँखों
2642,dekhi,देखी
2643,algar,अल्गर
2644,hiss,हिस
2645,communications,कम्यूनिकेशंस
2646,indrajeet,इंद्रजीत
2647,films,फ़िल्म्स
2648,igloo,एंग्लो
2649,patthrhon,पत्थरों
2650,chandrabhan,चंद्रभान
2651,premiyon,प्रेमियो
2652,bainkaireyla,बैनकैरेला
2653,neyviyoz,नैवियोज़
2654,mayritime,मैरीटाइम
2655,gems,जेम्स
2656,anderson,एण्डरसन
2657,ambrish,अंबरीश
2658,jawahar,जवाहराह
2659,modern,मॉडर्न
2660,metriculation,मैट्रिक्युलेशन
2661,cholvaram,चोल्वाराम
2662,lou,लोउ
2663,swatantra,स्वतंत्र
2664,lamps,लम्प्स
2665,rayith,साउथ
2666,china,चायना
2667,lokmat,लोकमत
2668,vat,वतन
2669,k,के
2670,rakhwale,रखवाले
2671,rajeshwari,राजेश्वरी
2672,balreyan,बेलरेयान
2673,gorge,गॉर्ज
2674,family,फ़ैमिली
2675,mutaali,मुताअली
2676,jeri,जेरी
2677,dejso,देज़्सो
2678,baijayanti,बैजयंती
2679,viv,विव
2680,richards,रिचर्ड्‍स
2681,asam,असम
2682,tribyoon,ट्रिब्यून
2683,mirraa,मिर्रा
2684,manjusha,मंजूषा
2685,job,अय्यूब
2686,blsamnd,बलसामंद
2687,creeper,लता
2688,cape,केप
2689,breton,ब्रेटन
2690,leghislation,विधान
2691,callwin,कॉल्व‍िन
2692,talukdars,तालुकदार्स
2693,luchknow,लखनऊ
2694,eeman,ईमान
2695,carper,कार्पर
2696,faith,फ़ेथ
2697,missionary,मिशनरी
2698,mount,माउंट
2699,revelstoke,रिवेलस्टोक
2700,girindra,गिरींद्र
2701,baghel,बघेल
2702,rasbihari,रासबिहारी
2703,nelson,नेल्सन
2704,rajasthan,राजस्थान
2705,patrika,पत्रिका
2706,son,सन
2707,trust,ट्रस्ट
2708,adimurty,आदिमूर्ति
2709,ratnamala,रत्नमाला
2710,macon,मैकन
2711,shame,लज्जा
2712,twilight,सांझ
2713,makhijani,माखीजानी
2714,isa,इसा
2715,adolf,अडॉल्फ़
2716,hitler,हिटलर
2717,jalendr,जलेंद्र
2718,tandi,डंडी
2719,nrupindar,नृपिंदर
2720,farmacology,फार्माकोलॉजी
2721,jalendu,जलेंदु
2722,dil,दिल
2723,ney,ने
2724,fir,फिर
2725,yad,याद
2726,kiya,किया
2727,austral,ऑस्ट्रल
2728,gillian,गिल्लिअन
2729,arunachal,अरुणाचल
2730,kaamna,कामना
2731,vagisha,वागीशा
2732,fatehabaad,फतेहाबाद
2733,puranik,पुराणिक
2734,sandhar,संधार
2735,jogdand,जोगदंड
2736,arun,अरुण
2737,gahniya,ग़नियाह
2738,patjad,पतझड़
2739,andros,एण्ड्रॉस
2740,garib,गरीब
2741,nawaz,नवाज़
2742,junaid,जुनैद
2743,jaysukh,जयसुख
2744,mudrika,मुद्रिका
2745,mufeed,मुफीद
2746,nikunj,निकुंज
2747,sasuraal,ससुराल
2748,shareef,शरीफ
2749,sona,सोना
2750,koyo,कोयो
2751,stre,स्टी
2752,adhivar,अधिवर
2753,chamra,चामरा
2754,kapoohedera,कपुगेदेरा
2755,aseemganj,अज़ीमगंज
2756,chalden,चार्लटन
2757,hesdun,हेस्टन
2758,bekem,बेकहैम
2759,khayrah,खैराह
2760,parth,पार्थ
2761,kumar,कुमार
2762,reddy,रेड्डी
2763,labs,लैब्स
2764,by,बोकर
2765,kill,मार
2766,aamer,आमेर
2767,najir,नाज़िर
2768,irvin,इरविन
2769,shilingford,शिलिंगफोर्ड
2770,bolotra,बालोत्रा
2771,tatoda,ट्रूडा
2772,akaryatanya,अकर्यतनया
2773,kongkni,कोंकणी
2774,meet,मीट
2775,greet,ग्रीट
2776,one,वन
2777,mujaffarnagar,मुज़फ़्फ़रनगर
2778,santan,संतान
2779,bouvissand,बॉविसैंड
2780,victoria,विक्टोरिया
2781,asandra,अस्रांदा
2782,kaisiya,कैसिया
2783,gushape,ग्यूसेप
2784,miragiliya,मिराग्लिया
2785,chitra,चित्रा
2786,roaster,रोस्‍टर
2787,shabib,शबीब
2788,awasvashthama,अश्वत्थामा
2789,imra,इर्मा
2790,christie,क्रिस्टी
2791,hefner,हैन्फ़र
2792,nagpal,नागपाल
2793,inhtelligence,खुफिया
2794,palace,महल
2795,sihlsee,सिहल्सी
2796,muflih,मुफ़्लीह
2797,shyla,शाइला
2798,tirukkulunkunram,तिरुक्कलुन्कुंरम
2799,olympic,ओलिंपिक
2800,medalist,मेडलिस्ट
2801,akbarganj,अकबरगंज
2802,havaldar,हवलदार
2803,parakram,पराक्रम
2804,uoojaam,ऊजाम
2805,jeeni,जीनी
2806,shub,शुब
2807,eelaktrick,इलेक्ट्रिक
2808,paanvar,पॉवर
2809,solomon,सोलोमन
2810,island,द्वीप
2811,avam,आवाम
2812,anguri,अंगूरी
2813,corine,कोरिन
2814,sharadini,शारदिनी
2815,chyulu,च्यूलु
2816,hills,हिल्स
2817,deeptendu,दीप्तेंदु
2818,wiley,विले
2819,memory,स्मृति
2820,shinano,शिनानो
2821,mithra,मिथ्रा
2822,wettimuny,वेट्टीमुनी
2823,kanhaiyaalaal,कन्हैयालाल
2824,anuradha,अनुराधा
2825,chidaksh,चिदाक्ष
2826,crazy,दीवाने
2827,amruthash,अमृताश
2828,edmonton,एडमॉन्टन
2829,mississippi,मिसिसिपी
2830,krishnamurthy,कृष्णमूर्ति
2831,lavas,लवर्स
2832,vaanjnik,वॉज़निक
2833,arulachelavan,अरुलचेलवन
2834,andolph,एडोल्फो
2835,baliya,बालिया
2836,hangarian,हंगेरियन
2837,revolt,रिवॉल्ट
2838,valita,वेलिट्टा
2839,vimborn,विम्बॉर्न
2840,bache,बच्चे
2841,coimbatore,कोइम्बटूर
2842,sumit,सुमित
2843,jota,जोटा
2844,harsinger,हरसिंगार
2845,achleshwar,अचलेश्वर
2846,lamhi,लेम्ही
2847,jananhi,जननी
2848,indrani,इंद्राणी
2849,bahrose,बॉरोज
2850,pooja,पूजा
2851,manchester,मॅन्चेस्टर
2852,ganguj,गूँज
2853,baalgopal,बालगोपाल
2854,hydrogenics,हाइड्रोजेनिक्स
2855,koporeshan,कॉर्पोरेशन
2856,anju,अंजु
2857,joli,जोली
2858,charls,चार्ल्स
2859,dvarka,द्वारका
2860,babbu,बब्बू
2861,tanuj,तनुज
2862,shrikaant,श्रीकांत
2863,tiknar,टिक्नर
2864,hamid,हमीद
2865,amrutkala,अमृतकला
2866,valington,वेलिंग्टन
2867,supol,सुपौल
2868,begum,बेग़म
2869,aashish,आशीष
2870,nehra,नेहरा
2871,saahnewal,साहनेवाल
2872,gokul,गोकुल
2873,tuinis,ट्यूनिस
2874,upal,उपुल
2875,ambuja,अंबुजा
2876,cement,सीमेंट
2877,ganga,गंगा
2878,kingdom,किंगडम
2879,simons,सिमंस
2880,hindi,हिन्दी
2881,tommy,टॉमी
2882,omaprakaash,ओमप्रकाश
2883,indrayani,इंद्रायणी
2884,iffah,इफ्फह
2885,cittaswarup,चित्तस्वरूप
2886,ranjana,रंजना
2887,sowganhdha,सौगंध
2888,sajni,सजनी
2889,ronaald,रोनाल्ड
2890,rigan,रीगन
2891,raaj,राज
2892,lakshmi,लक्ष्मी
2893,misaal,मिसाल
2894,mukti,मुक्ति
2895,lopaa,लोपा
2896,gulf,गल्फ
2897,raghav,राघव
2898,batala,बटाला
2899,tata,टाटा
2900,tea,टी
2901,nityagopal,नित्यगोपाल
2902,abhinath,अभिनाथ
2903,lokpal,लोकपाल
2904,bentuang,बेंटुआंग
2905,karimun,कारीमुन
2906,don,डॉन
2907,anursiri,अनुरसीरी
2908,fitzwilliam,फिट्ज़विलियम
2909,varadaraja,वरदराजा
2910,perumal,पेरूमाल
2911,way,रास्ते
2912,manzil,मंज़िल
2913,bhanuprasad,भानुप्रसाद
2914,amadou,अमादोउ
2915,mushtak,मुश्ताक़
2916,yeri,येरी
2917,blue,ब्लू
2918,dart,डार्ट
2919,badnaam,बदनाम
2920,jaw,जॉ
2921,angel,एंजेल
2922,gajraj,गजराज
2923,nagkanya,नागकन्या
2924,admi,आदमी
2925,sarak,सड़क
2926,varidhi,वारिधि
2927,nova,नोवा
2928,fariste,फरिश्ते
2929,badsaahnagar,बादशाहनगर
2930,ooh,ओ
2931,nisaan,निशान
2932,bisan,बिशन
2933,ravindra,रविंद्र
2934,puspkumari,पुष्पकुमारा
2935,nadan,नादां
2936,ojas,ओजस
2937,brayan,ब्रायन
2938,agni,अग्नि
2939,sastri,साक्षी
2940,habroos,हबूस
2941,nayan,नयन
2942,salila,सलिला
2943,nola,नोला
2944,mutavasit,मुतावस्सित
2945,aahanith,आह्वानित
2946,bhai,भाई
2947,bahan,बहन
2948,pyaremohan,प्यारेमोहन
2949,dyuyar,ड्यूएर
2950,shanbhu,शंभू
2951,maharaj,महाराज
2952,pelaagiya,पेलागिया
2953,sadhu,साधू
2954,yameen,यमीन
2955,tajaa,ताज़ा
2956,khabar,खबर
2957,andheree,अंधेरी
2958,diya,दिया
2959,yaa,या
2960,mahabalipuram,महाबलीपुरम
2961,australian,ऑस्ट्रेलियन
2962,catholic,कैथलिक
2963,lawres,लॉरेंस
2964,aapte,आप्टे
2965,khoj,खोज
2966,ayyar,आर्य
2967,hanhd,हाथ
2968,victory,विजय
2969,bharadwaj,भारद्वाज
2970,volga,वोल्गा
2971,oat,कसम
2972,hill,पहाड़ी
2973,sareen,सरीन
2974,mundra,मृदा
2975,york,यॉर्क
2976,kudarat,कुदरत
2977,zaheriley,ज़हरीले
2978,corner,कोनर
2979,thopiyer,थोपइयर
2980,karamgati,करमगति
2981,lui,लुई
2982,jogishwar,जोगीश्वर
2983,vasant,वसंत
2984,meliora,मेलिओरा
2985,jaali,जाली
2986,note,नोट
2987,tanir,तनीर
2988,ansaari,अंसारी
2989,area,एरिया
2990,gaalib,गालिब
2991,east,इस्ट
2992,liend,लैंड
2993,nayak,नायक
2994,vade,वेड
2995,saykanb,सेकॉम्ब
2996,jay,जय
2997,mamta,ममता
2998,dartmauth,डार्टमाउथ
2999,manikaran,मनीकरण
3000,nalanda,नालन्दा
3001,renee,रेनी
3002,ajmal,अजमल
3003,thirsty,प्यासी
3004,diella,डिएला
3005,naomi,नाओमी
3006,rasika,रसिका
3007,aslana,अस्लाना
3008,kajwadkar,कजवाड़कर
3009,waves,लहरें
3010,demi,डेमी
3011,moore,मूर
3012,ermaan,ईमॉन
3013,urdu,उर्दू
3014,chandrika,चंद्रिका
3015,korak,गोरख
3016,hia,किए
3017,jaa,जा
3018,dharmvaram,धर्मवरम
3019,curage,करेज
3020,amartya,अमर्त्य
3021,homps,होप्स
3022,anoora,अनुरा
3023,tencon,टेनेकून
3024,ajeemaaha,अज़ीमाह
3025,floor,फ्लार
3026,aparaajitaa,अपराजिता
3027,vidrumalataa,विद्रुमलता
3028,life,जीवन
3029,ferry,नैया
3030,hud,हुद
3031,tiptree,टिपट्री
3032,moroni,मोरोनी
3033,emanuele,इमानुएल
3034,eyes,आँखें
3035,fernedo,फर्नेंडो
3036,noronha,नॉरोन्हा
3037,marine,मरीन
3038,stale,स्टेल
3039,forest,फॉरेस्ट
3040,pramod,प्रमोद
3041,birambad,बिरामबाद
3042,cricketer,क्रिकेटर
3043,norwagon,नॉरवेगन
3044,olav,ओलव
3045,scene,सीन
3046,vishvendra,विश्वेंद्र
3047,gokarnath,गोकरनाथ
3048,lion,लायन
3049,malti,मालती
3050,hanivel,हनीवेल
3051,lanka,लंका
3052,dahan,दहन
3053,liberty,लिबर्टी
3054,dhavle,ढवले
3055,florous,फ़्लोरेंस
3056,nigtingale,नाइटेंगल
3057,keladhan,कैलाघन
3058,chalisa,चालीसा
3059,angelika,एंजेलिका
3060,morcco,मोरक्को
3061,rifel,रॉफिल
3062,humber,हंबर
3063,craig,क्रेग
3064,cuming,क्युमिंग
3065,naagar,नागर
3066,erdara,एर्डरा
3067,malli,मल्ली
3068,robin,रॉबिन
3069,foot,फोर्ट
3070,pinks,पिकन्स
3071,boonda,बृन्दा
3072,gauna,गौना
3073,laurenishan,लॉरेन्शियन
3074,shabnam,शबनम
3075,grade,ग्रैंड
3076,sertauo,सेरटाओ
3077,verydas,वेरीडास
3078,phulo,फूलों
3079,sage,सेज
3080,dhampur,धामपुर
3081,sugar,शुगर
3082,jadeja,जडेजा
3083,bevhaari,बेवहारी
3084,sabih,सबीह
3085,govin,गेविन
3086,bryant,ब्रायंट
3087,chennai,चेन्नई
3088,shaling,शैलिंग
3089,insaaf,इंसाफ
3090,pukar,पुकार
3091,mat,मैट
3092,prior,प्रायर
3093,philomena,फिलोमेना
3094,vagreshwar,वागेश्वर
3095,tash,टॅश
3096,transport,ट्रांसपोर्ट
3097,meuseum,म्युज़ियम
3098,kuwara,कुँवारा
3099,baap,बाप
3100,sitar,सितार
3101,faasi,फाँसी
3102,baad,बाद
3103,mona,मोना
3104,kelave,कैलावे
3105,faud,फॉड
3106,baichus,बैचुस
3107,saiveej,सैवेज
3108,hame,हमें
3109,khilne,खेलने
3110,prem,प्रेम
3111,sangeet,संगीत
3112,gaadgil,गाडगिल
3113,naasiya,नासिया
3114,bairaag,बैराग
3115,naasik,नासिक
3116,brain,ब्रेन
3117,straigt,स्ट्रेट
3118,hormaj,होरमज़
3119,yadu,यदु
3120,suryanaar,सूर्यानार
3121,koyil,कोयील
3122,osaaka,ओसाका
3123,trade,ट्रेड
3124,centre,सेन्टर
3125,construction,कंसट्रक्शन
3126,mahaabodhi,महाबोधि
3127,tchernichovsky,चेर्निकोवस्की
3128,phiercing,भेदी
3129,robber,लुटेरा
3130,particle,कण
3131,kana,कण
3132,bhagvan,भगवान
3133,mahalakshmi,महालक्ष्मी
3134,man,माँ
3135,chabili,छबीली
3136,gairi,गैरी
3137,afoov,अफुव
3138,havalat,हवालात
3139,peecha,पीछा
3140,karo,करूँ
3141,pushkal,पुष्कल
3142,aaesal,आइसल
3143,veet,विट
3144,khaalda,खालड़ा
3145,damurah,दमुराह
3146,ramduut,रामदूत
3147,shafield,शेफफील्ड
3148,sajaad,सज्जाद
3149,akbar,अकबर
3150,punkaj,पंकज
3151,dharmaani,धरमानी
3152,bigorn,बिगहॉर्न
3153,andy,एण्डी
3154,bichel,बिचेल
3155,gharwali,घरवाली
3156,baharwali,बाहरवाली
3157,waste,वेस्ट
3158,management,मैनेजमेंट
3159,lawson,लॉसन
3160,skirrow,स्किरॉ
3161,najla,नजला
3162,manu,मनु
3163,arivalagan,अरिवलगन
3164,lal,लाल
3165,buzkkad,बुझक्कड़
3166,raghurai,रघुराई
3167,dosan,डॉसन
3168,shaalimar,शालीमार
3169,pentas,पेंट्स
3170,lori,लोरी
3171,angaarey,अँगारे
3172,boliviyaano,बोलिवियानो
3173,freeston,फ्रीस्टोन
3174,maharaja,महाराजा
3175,bhagtanwala,भगतनवाला
3176,buddev,बुद्धदेव
3177,agra,आगरा
3178,suchrita,सुचरिता
3179,jahrigan,ज़हरिंगन
3180,kile,किले
3181,eli,एली
3182,golitier,गॉल्टियर
3183,neelkanta,नीलकांता
3184,lig,लीग
3185,laycross,लैक्रोस
